i,time,ax,h
1134,379121.0,9.78,0.0
1138,379157.0,9.86,0.0
1142,379193.0,10.04,0.0
1146,379229.0,10.15,0.0
1152,379265.0,10.28,0.0
1154,379301.0,10.36,0.0
1156,379301.0,10.36,0.0
1158,379337.0,10.24,0.0
1160,379337.0,10.24,0.0
1166,379373.0,10.13,0.0
1168,379409.0,10.02,0.0
1176,379445.0,9.94,0.0
1178,379445.0,9.94,0.0
1180,379481.0,9.89,0.0
1182,379517.0,9.85,0.0
1188,379553.0,9.85,0.0
1190,379589.0,9.99,0.0
1194,379625.0,10.09,0.0
