i,time,ax,h
790,1865194.0,6.34,0.0
792,1865230.0,7.16,0.0
794,1865266.0,6.86,0.0
796,1865266.0,6.86,0.0
798,1865266.0,6.86,0.0
800,1865302.0,6.16,0.0
802,1865302.0,6.16,0.0
804,1865338.0,5.72,0.0
806,1865338.0,5.72,0.0
808,1865374.0,5.12,0.0
810,1865374.0,5.12,0.0
812,1865410.0,3.82,0.0
814,1865410.0,3.82,0.0
816,1865446.0,3.09,0.0
818,1865446.0,3.09,0.0
820,1865446.0,3.09,0.0
822,1865482.0,2.65,0.0
824,1865518.0,1.48,0.0
826,1865518.0,1.48,0.0
828,1865518.0,1.48,0.0
830,1865554.0,0.05,0.0
832,1865554.0,0.05,0.0
834,1865590.0,0.24,0.0
836,1865590.0,0.24,0.0
838,1865626.0,-0.19,0.0
840,1865626.0,-0.19,0.0
842,1865662.0,-0.63,0.0
844,1865662.0,-0.63,0.0
846,1865662.0,-0.63,0.0
848,1865698.0,-0.38,0.0
850,1865698.0,-0.38,0.0
852,1865698.0,-0.38,0.0
854,1865698.0,-0.38,0.0
856,1865734.0,-0.28,0.0
858,1865770.0,-0.3,0.0
860,1865806.0,-0.16,0.0
862,1865806.0,-0.16,0.0
864,1865806.0,-0.16,0.0
866,1865842.0,-0.2,0.0
868,1865878.0,-0.14,0.0
870,1865878.0,-0.14,0.0
872,1865878.0,-0.14,0.0
874,1865914.0,-0.11,0.0
