i,time,ay,h
400,214482.0,0.12999916,0.0
404,214518.0,0.21000004,0.0
408,214554.0,0.18999958,0.0
412,214590.0,0.13999939,0.0
416,214626.0,0.14999962,0.0
420,214662.0,0.10999966,0.0
424,214698.0,0.15999985,0.0
428,214734.0,0.16999912,0.0
432,214770.0,0.12999916,0.0
436,214806.0,0.14999962,0.0
440,214842.0,0.13999939,0.0
444,214878.0,0.16999912,0.0
448,214914.0,0.18999958,0.0
452,214950.0,0.14999962,0.0
456,214986.0,0.13999939,0.0
460,215022.0,0.09999943,0.0
464,215058.0,0.12999916,0.0
468,215094.0,0.16999912,0.0
472,215130.0,0.16999912,0.0
476,215166.0,0.12999916,0.0
480,215202.0,0.16999912,0.0
484,215238.0,0.14999962,0.0
488,215274.0,0.15999985,0.0
492,215310.0,0.17999935,0.0
496,215346.0,0.12999916,0.0
500,215382.0,0.12999916,0.0
504,215418.0,0.17999935,0.0
508,215454.0,0.14999962,0.0
512,215490.0,0.13999939,0.0
516,215526.0,0.19999981,0.0
520,215562.0,0.12999916,0.0
524,215598.0,0.12999916,0.0
528,215634.0,0.119999886,0.0
532,215670.0,0.14999962,0.0
536,215706.0,0.12999916,0.0
540,215742.0,0.12999916,0.0
544,215778.0,0.0899992,0.0
548,215814.0,0.10999966,0.0
552,215850.0,0.17999935,0.0
556,215886.0,-0.2300005,0.0
560,215922.0,-0.47000027,0.0
564,215949.0,-0.35000038,0.0
568,215985.0,-0.6100006,0.0
572,216021.0,-1.0100002,0.0
576,216057.0,-0.57000065,0.0
580,216075.0,-0.35000038,0.0
584,216111.0,-0.5100002,0.0
588,216147.0,-0.5800009,0.0
592,216183.0,-0.4100008,0.0
596,216219.0,-0.9800005,0.0
600,216255.0,-0.9900007,0.0
604,216291.0,-0.42000008,0.0
608,216327.0,-0.6500006,0.0
612,216363.0,-0.62000084,0.0
616,216399.0,-0.8600006,0.0
620,216435.0,-0.9100008,0.0
624,216471.0,-1.0600004,0.0
628,216507.0,-1.0100002,0.0
632,216543.0,-0.40000057,0.0
636,216579.0,0.46000004,0.0
640,216615.0,0.92999935,0.0
644,216651.0,1.4499998,0.0
648,216687.0,1.8199997,0.0
652,216723.0,1.2699995,0.0
656,216759.0,0.8899994,0.0
660,216795.0,0.7199993,0.0
664,216831.0,0.22999954,0.0
668,216867.0,-0.17000008,0.0
672,216903.0,-0.6600008,0.0
676,216939.0,-0.62000084,0.0
680,216975.0,-0.7300005,0.0
684,217011.0,-0.49000072,0.0
688,217047.0,-0.8000002,0.0
692,217083.0,-0.8800001,0.0
696,217119.0,-0.7600002,0.0
700,217155.0,-1.0900002,0.0
704,217191.0,-0.96000004,0.0
708,217227.0,-1.0500002,0.0
712,217263.0,-0.95000076,0.0
716,217299.0,-1.0300007,0.0
720,217335.0,-1.0300007,0.0
724,217371.0,-1.0900002,0.0
728,217407.0,-1.1900005,0.0
732,217443.0,-1.4100008,0.0
736,217479.0,-1.5,0.0
740,217515.0,-1.7700005,0.0
744,217551.0,-1.9600005,0.0
748,217587.0,-1.4800005,0.0
752,217623.0,-0.4100008,0.0
756,217659.0,0.80999947,0.0
760,217695.0,3.2199993,0.0
764,217731.0,5.8499994,0.0
768,217767.0,6.1899996,0.0
772,217803.0,6.45,0.0
776,217839.0,13.339999,0.0
780,217875.0,14.88,0.0
784,217907.0,13.72,0.0
788,217943.0,0.8199997,0.0
792,217979.0,-10.900001,0.0
796,218015.0,-14.380001,0.0
800,218051.0,-9.81,0.0
804,218077.0,-11.39,0.02
808,218100.0,-12.64,0.0
812,218136.0,-10.3,0.0
816,218172.0,-8.6,0.0
820,218208.0,-8.9800005,0.0
824,218244.0,-10.570001,0.0
828,218280.0,-10.56,0.0
832,218316.0,-8.650001,0.0
836,218352.0,-8.870001,0.0
840,218388.0,-9.47,0.0
844,218424.0,-9.77,0.0
848,218460.0,-10.030001,0.0
852,218496.0,-6.26,0.0
856,218532.0,8.839999,0.0
860,218559.0,18.989998,0.0
864,218595.0,14.04,0.0
868,218631.0,8.329999,0.0
872,218667.0,9.899999,0.0
876,218703.0,1.8299999,0.0
880,218739.0,2.2699995,0.0
884,218775.0,0.47999954,0.0
888,218811.0,-0.72000027,0.0
892,218847.0,-1.6700001,0.0
896,218883.0,-2.0700006,0.0
900,218919.0,-2.5200005,0.0
904,218955.0,-2.4200006,0.0
908,218991.0,-1.9200006,0.0
912,219027.0,-2.3000002,0.0
916,219063.0,-1.7200003,0.0
920,219099.0,-1.5600004,0.0
924,219135.0,-1.0900002,0.0
928,219171.0,-0.7800007,0.0
