i,time,ax,h
952,344681.0,0.03999996,0.0
954,344717.0,-0.05000019,0.0
958,344753.0,-0.07000065,0.0
962,344789.0,0.53999996,0.0
964,344789.0,0.53999996,0.0
966,344789.0,0.53999996,0.0
968,344825.0,0.65999985,0.0
972,344861.0,0.79999924,0.0
976,344897.0,0.67999935,0.0
982,344933.0,0.5799999,0.0
984,344969.0,0.7399998,0.0
990,345005.0,0.5899992,0.0
996,345041.0,0.41999912,0.0
998,345077.0,0.29999924,0.0
1000,345077.0,0.29999924,0.0
1002,345113.0,0.0,0.0
1006,345149.0,-0.15000057,0.0
1012,345185.0,-0.6600008,0.0
1016,345221.0,-1.3400002,0.0
1018,345257.0,-1.5700006,0.0
1020,345257.0,-1.5700006,0.0
1024,345293.0,-2.0100002,0.0
1028,345329.0,-2.4100003,0.0
1032,345365.0,-1.0900002,0.0
1036,345401.0,-0.6300001,0.0
1040,345437.0,1.0,0.0
1042,345437.0,1.0,0.0
1044,345473.0,4.33,0.0
1048,345509.0,6.8100004,0.0
1050,345509.0,6.8100004,0.0
1054,345545.0,10.179999,0.0
1058,345581.0,12.06,0.0
1062,345617.0,14.21,0.0
1068,345653.0,14.659999,0.0
1072,345689.0,10.5199995,0.0
1076,345725.0,4.7699995,0.0
1082,345761.0,-3.4000006,0.0
1084,345797.0,-9.17,0.0
1088,345833.0,-12.1,0.0
1092,345869.0,-11.610001,0.0
1094,345869.0,-11.610001,0.0
1098,345905.0,-8.070001,0.0
1102,345941.0,-7.2900004,0.0
1106,345977.0,-6.9100003,0.0
1108,345977.0,-6.9100003,0.0
1110,346013.0,-7.7100005,0.0
1114,346049.0,-7.84,0.0
1118,346085.0,-8.14,0.0
1124,346121.0,-9.26,0.0
1128,346157.0,-9.330001,0.0
1132,346193.0,-9.31,0.0
1138,346229.0,-9.38,0.0
1140,346265.0,-7.4600005,0.0
1144,346301.0,-2.1600003,0.0
1148,346337.0,5.96,0.0
1150,346337.0,5.96,0.0
1156,346373.0,12.37,0.0
1158,346409.0,13.409999,0.0
1162,346445.0,11.7,0.0
1166,346481.0,10.11,0.0
1170,346517.0,7.0699987,0.0
1174,346553.0,5.1399994,0.0
1182,346589.0,4.1499996,0.0
1184,346625.0,3.0899992,0.0
1188,346661.0,2.62,0.0
1192,346697.0,1.5599995,0.0
1196,346733.0,0.3199997,0.0
1200,346769.0,-0.77000046,0.0
1204,346805.0,-1.4800005,0.0
1206,346805.0,-1.4800005,0.0
1210,346841.0,-2.2600002,0.0
1216,346877.0,-2.9800005,0.0
1218,346913.0,-3.6900005,0.0
1224,346949.0,-4.2200003,0.0
1226,346985.0,-3.3200006,0.0
1228,346985.0,-3.3200006,0.0
1232,347021.0,-1.0700006,0.0
1234,347057.0,0.9699993,0.0
1236,347057.0,0.9699993,0.0
1238,347093.0,1.5999994,0.0
1240,347093.0,1.5999994,0.0
1244,347129.0,1.2399998,0.0
1248,347165.0,-0.13000011,0.0
1250,347165.0,-0.13000011,0.0
1252,347201.0,-0.7600002,0.0
1258,347237.0,-0.07000065,0.0
1262,347273.0,0.6199999,0.0
1266,347309.0,0.97999954,0.0
1270,347345.0,1.2699995,0.0
1274,347381.0,0.71000004,0.0
1280,347417.0,-0.14000034,0.0
1282,347453.0,-0.45000076,0.0
1286,347489.0,-0.57000065,0.0
1288,347489.0,-0.57000065,0.0
1294,347525.0,-0.53999996,0.0
1296,347561.0,-0.030000687,0.0
1300,347597.0,0.43999958,0.0
1304,347633.0,0.3899994,0.0
1306,347633.0,0.3899994,0.0
1312,347669.0,0.019999504,0.0
1314,347705.0,-0.13000011,0.0
1318,347741.0,-0.06000042,0.0
1322,347777.0,-0.020000458,0.0
1326,347813.0,0.28999996,0.0
1330,347849.0,0.48999977,0.0
1334,347885.0,0.40999985,0.0
1338,347921.0,0.37999916,0.0
1340,347921.0,0.37999916,0.0
1342,347957.0,0.35999966,0.0
1346,347993.0,0.3399992,0.0
1348,347993.0,0.3399992,0.0
1350,348029.0,0.12999916,0.0
1352,348029.0,0.12999916,0.0
1356,348065.0,0.009999275,0.0
1360,348101.0,0.14999962,0.0
1362,348101.0,0.14999962,0.0
1366,348137.0,0.13999939,0.0
1370,348173.0,0.0899992,0.0
1374,348209.0,0.09999943,0.0
1378,348245.0,-0.010000229,0.0
1382,348281.0,-0.11000061,0.0
